ID,Date,Text,Likes,Retweets,Metadata
0,2023-03-20 07:52:58+00:00,@aarmel @KimDotcom @ZelenskyyUa quote?,0,0,"{'iso_language_code': 'en', 'result_type': 'recent'}"
0,2023-03-20 07:41:41+00:00,"@aarmel @KimDotcom @ZelenskyyUa Maybe he said ""The goals that Russia has set for itself can only be achieved by military means, since Ukraine has taken a position not to negotiate"" Do you recall that Ukraine has banned negotiations with Russia by law? So Ukraine needs peace?",0,0,"{'iso_language_code': 'en', 'result_type': 'recent'}"
0,2023-03-20 07:40:03+00:00,@aarmel @KimDotcom @ZelenskyyUa Oh realy? can you show me video?,0,0,"{'iso_language_code': 'en', 'result_type': 'recent'}"
0,2023-03-20 07:02:14+00:00,@aarmel @KimDotcom @ZelenskyyUa he never said that.,1,0,"{'iso_language_code': 'en', 'result_type': 'recent'}"
0,2023-03-18 10:15:55+00:00,@aarmel @ProfPCDoherty https://t.co/KkOpliU7Fh,0,0,"{'iso_language_code': 'und', 'result_type': 'recent'}"
0,2023-03-18 09:41:49+00:00,@aarmel @Leo_Puglisi6 They also have a right to protest.,0,0,"{'iso_language_code': 'en', 'result_type': 'recent'}"
0,2023-03-18 03:35:51+00:00,@aarmel @senatorbabet Explain this please? https://t.co/nnnBpT6JaB,0,0,"{'iso_language_code': 'en', 'result_type': 'recent'}"
0,2023-03-17 21:26:59+00:00,@aarmel @MariuszDyminski @PeterDClack It would just make if that much more stupid :D,0,0,"{'iso_language_code': 'en', 'result_type': 'recent'}"
0,2023-03-17 11:08:32+00:00,@aarmel @MariuszDyminski @PeterDClack Lol surprised they didn’t do ten decimal places - no,0,0,"{'iso_language_code': 'en', 'result_type': 'recent'}"
0,2023-03-17 06:25:39+00:00,"@aarmel @PeterGleick Here let me help you, buddy. During photosynthesis, plants take in carbon dioxide (CO2) and water (H2O) from the air and soil in order to grow.",2,0,"{'iso_language_code': 'en', 'result_type': 'recent'}"
0,2023-03-17 04:49:11+00:00,"@aarmel @PeterGleick LMAO! You have no argument so you write a non-sequitur that has no relevance at all. Welcome to the retrd zone, brought to you by aarmel",2,0,"{'iso_language_code': 'en', 'result_type': 'recent'}"
0,2023-03-17 04:16:20+00:00,@aarmel @MariuszDyminski @PeterDClack You told me I was confused https://t.co/50oVQL3CPX,0,0,"{'iso_language_code': 'en', 'result_type': 'recent'}"
0,2023-03-17 04:08:20+00:00,@aarmel @MariuszDyminski @PeterDClack You stated they were estimates - these are neither estimates or accurate figures - nor does anyone know how or who put the figures down - never have I seen hundredths decimal place temp readings,0,0,"{'iso_language_code': 'en', 'result_type': 'recent'}"
0,2023-03-17 03:59:00+00:00,@aarmel @MariuszDyminski @PeterDClack Again I ask you - how are these estimates?,0,0,"{'iso_language_code': 'en', 'result_type': 'recent'}"
0,2023-03-17 02:21:35+00:00,@aarmel @MariuszDyminski @PeterDClack Or and hear me out…. How are these estimates,0,0,"{'iso_language_code': 'en', 'result_type': 'recent'}"
0,2023-03-17 01:11:39+00:00,@aarmel @MariuszDyminski @PeterDClack https://t.co/IEjZkgEsUJ,0,0,"{'iso_language_code': 'und', 'result_type': 'recent'}"
0,2023-03-17 00:04:57+00:00,@aarmel @MariuszDyminski @PeterDClack Lol yeah never seen an estimate go into fractions and decimals :),0,0,"{'iso_language_code': 'en', 'result_type': 'recent'}"
0,2023-03-16 22:18:15+00:00,@aarmel @MariuszDyminski @PeterDClack Lol so how can it be an estimate :D,0,0,"{'iso_language_code': 'en', 'result_type': 'recent'}"
0,2023-03-16 20:06:01+00:00,@aarmel @MariuszDyminski @PeterDClack you do know how estimates work right?...   fractions arent a thing :D thats why I'm calling bullshit.,0,0,"{'iso_language_code': 'en', 'result_type': 'recent'}"
0,2023-03-16 20:02:07+00:00,@aarmel @MariuszDyminski @PeterDClack lol tree rings measure in fractions of a degree in temperature change :D,0,0,"{'iso_language_code': 'en', 'result_type': 'recent'}"
0,2023-03-16 20:00:07+00:00,"@aarmel @MariuszDyminski @PeterDClack the measurement of .312 of a degree in a 1880's (even the generalization of a year is bullshit) is nonsensical...  

this is where the stupid begins...",0,0,"{'iso_language_code': 'en', 'result_type': 'recent'}"
0,2023-03-16 19:39:41+00:00,@aarmel @MariuszDyminski @PeterDClack lol this is how its measured TODAY - how was the original number taken?...  jfc,0,0,"{'iso_language_code': 'en', 'result_type': 'recent'}"
0,2023-03-16 19:24:49+00:00,@aarmel @MariuszDyminski @PeterDClack lol what?  I'm the sceptic you NEED to prove it to me... jfc,0,0,"{'iso_language_code': 'en', 'result_type': 'recent'}"
0,2023-03-16 19:22:51+00:00,@TonyClimate @ABQJournal Going by the NEWS article a reported prediction was increased crops over the next 30 to 40 years.,0,0,"{'iso_language_code': 'en', 'result_type': 'recent'}"
0,2023-03-16 13:06:13+00:00,@aarmel @MariuszDyminski @PeterDClack Prove it - where was it recorded and using what instruments,0,0,"{'iso_language_code': 'en', 'result_type': 'recent'}"
0,2023-03-16 00:23:55+00:00,"@aarmel @goodfoodgal If its ""minor"" then why bother",0,0,"{'iso_language_code': 'en', 'result_type': 'recent'}"
0,2023-03-15 22:48:13+00:00,"@aarmel @PeterDClack 150 years is a drop in a bucket

A dansgaard oeschger event can cause 8-16° C in a DECADE",0,0,"{'iso_language_code': 'en', 'result_type': 'recent'}"
0,2023-03-15 19:56:17+00:00,@aarmel @MariuszDyminski @PeterDClack this isnt a thing lol quit being silly,1,0,"{'iso_language_code': 'en', 'result_type': 'recent'}"
0,2023-03-15 19:56:07+00:00,@Echopeus @MariuszDyminski @PeterDClack it can result in very large swings potentially.,0,0,"{'iso_language_code': 'en', 'result_type': 'recent'}"
0,2023-03-15 19:55:48+00:00,"@Echopeus @MariuszDyminski @PeterDClack 0.1c inc even with a small data set:
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1

1.6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.5
1.2, 1.2, 1.2, 0.8, 0.8, 0.8, 1, 1, 1, 1, 1, 1
1.1, 1.1, 1.1, 1.1, 1.1, 1.1, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9
1.9, 0.2, 1.7, 0.4, 1.5, 0.6, 1.3, 0.8, 1.1, 1, 1, 1",0,0,"{'iso_language_code': 'en', 'result_type': 'recent'}"
